,track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1314,ウイスキーが、お好きでしょ,hanare gumi,6ffWQpIQhwtQxhO2HvbyWm,0.642,0.237,7,-16.142,0,0.0387,0.724,1.71e-06,0.0574,0.694,137.4,audio_features,spotify:track:6ffWQpIQhwtQxhO2HvbyWm,https://api.spotify.com/v1/tracks/6ffWQpIQhwtQxhO2HvbyWm,https://api.spotify.com/v1/audio-analysis/6ffWQpIQhwtQxhO2HvbyWm,152100,4
1315,pedacitos de luna,joan sebastian,57OWITrnprCGYvkcyaLRwp,0.789,0.505,7,-9.023,1,0.0414,0.758,1.44e-06,0.0757,0.98,130.29,audio_features,spotify:track:57OWITrnprCGYvkcyaLRwp,https://api.spotify.com/v1/tracks/57OWITrnprCGYvkcyaLRwp,https://api.spotify.com/v1/audio-analysis/57OWITrnprCGYvkcyaLRwp,162215,4
1316,(everything i do) i do it for you,bryan adams,6eBK3edMW7bEzecF1eCezc,0.526,0.365,1,-12.605,1,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,audio_features,spotify:track:6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/tracks/6eBK3edMW7bEzecF1eCezc,https://api.spotify.com/v1/audio-analysis/6eBK3edMW7bEzecF1eCezc,394133,4
1317,looking for strange - super strange mix,kmfdm,4I9ZXdyjmVdq2bwJn0ScGc,0.596,0.959,7,-3.999,0,0.0382,0.00121,0.628,0.062,0.883,135.024,audio_features,spotify:track:4I9ZXdyjmVdq2bwJn0ScGc,https://api.spotify.com/v1/tracks/4I9ZXdyjmVdq2bwJn0ScGc,https://api.spotify.com/v1/audio-analysis/4I9ZXdyjmVdq2bwJn0ScGc,327907,4
1318,älä peitä mun aurinkoo,klamydia,5Te4IY7QhJGFfAg1cmacZ3,0.423,0.902,0,-3.238,1,0.0504,0.00664,0.0,0.0921,0.506,173.942,audio_features,spotify:track:5Te4IY7QhJGFfAg1cmacZ3,https://api.spotify.com/v1/tracks/5Te4IY7QhJGFfAg1cmacZ3,https://api.spotify.com/v1/audio-analysis/5Te4IY7QhJGFfAg1cmacZ3,209130,4
1319,the same parents,enigma,5RHcBbi9TvOKvU5TUpeFa9,0.671,0.571,0,-9.207,0,0.0346,0.267,0.177,0.113,0.519,120.212,audio_features,spotify:track:5RHcBbi9TvOKvU5TUpeFa9,https://api.spotify.com/v1/tracks/5RHcBbi9TvOKvU5TUpeFa9,https://api.spotify.com/v1/audio-analysis/5RHcBbi9TvOKvU5TUpeFa9,319733,4
1320,georgia,vance joy,429EttO8gs0bDo2SQfUNSm,0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,audio_features,spotify:track:429EttO8gs0bDo2SQfUNSm,https://api.spotify.com/v1/tracks/429EttO8gs0bDo2SQfUNSm,https://api.spotify.com/v1/audio-analysis/429EttO8gs0bDo2SQfUNSm,230507,4
1321,arena,vnv nation,2EJgfp1EcjQgWi3cK8A7Cj,0.531,0.779,1,-6.771,1,0.0265,0.0135,0.0752,0.172,0.468,139.008,audio_features,spotify:track:2EJgfp1EcjQgWi3cK8A7Cj,https://api.spotify.com/v1/tracks/2EJgfp1EcjQgWi3cK8A7Cj,https://api.spotify.com/v1/audio-analysis/2EJgfp1EcjQgWi3cK8A7Cj,344720,4
1322,land of the loving,lea salonga,0DqKMzTDVDiVHRqRvKjB1d,0.254,0.346,0,-8.687,1,0.033,0.729,0.000284,0.102,0.146,89.17,audio_features,spotify:track:0DqKMzTDVDiVHRqRvKjB1d,https://api.spotify.com/v1/tracks/0DqKMzTDVDiVHRqRvKjB1d,https://api.spotify.com/v1/audio-analysis/0DqKMzTDVDiVHRqRvKjB1d,311720,3
1323,burden in my hand,soundgarden,1iArQTuOzxvrtniGmkyy92,0.319,0.803,10,-8.928,1,0.0394,0.00534,0.0126,0.177,0.589,183.031,audio_features,spotify:track:1iArQTuOzxvrtniGmkyy92,https://api.spotify.com/v1/tracks/1iArQTuOzxvrtniGmkyy92,https://api.spotify.com/v1/audio-analysis/1iArQTuOzxvrtniGmkyy92,290107,4
